epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,dataset,method,is_best
1,3.8731114656829835,0.14084,2.3747240295410155,0.4022,5e-05,cifar100,bitfit,True
2,2.076819356689453,0.46754,1.2459562057495117,0.6503,4.998766400914329e-05,cifar100,bitfit,True
3,1.5019429467010499,0.59668,0.9158468407630921,0.7358,4.995066821070679e-05,cifar100,bitfit,True
4,1.2860038707733155,0.64946,0.7761713973045349,0.7706,4.9889049115077005e-05,cifar100,bitfit,True
5,1.172557714920044,0.67768,0.699517191696167,0.7905,4.9802867532861956e-05,cifar100,bitfit,True
6,1.0850987062263489,0.69902,0.6478578380584716,0.8032,4.969220851487845e-05,cifar100,bitfit,True
7,1.0465395244598388,0.7095,0.6129874365806579,0.8127,4.9557181268217227e-05,cifar100,bitfit,True
8,0.9990363299942017,0.72072,0.5901011203765869,0.821,4.939791904846869e-05,cifar100,bitfit,True
9,0.9730136999511719,0.72574,0.5719292962551117,0.8249,4.921457902821578e-05,cifar100,bitfit,True
10,0.9440431430244446,0.73542,0.5496111530303955,0.8312,4.9007342141923585e-05,cifar100,bitfit,True
11,0.9200570245552063,0.74156,0.5391463326454162,0.8344,4.877641290737885e-05,cifar100,bitfit,True
12,0.9019242677879333,0.74482,0.5329902802467347,0.8365,4.852201922385565e-05,cifar100,bitfit,True
13,0.8832010813522339,0.74944,0.5158272290706635,0.8413,4.82444121472063e-05,cifar100,bitfit,True
14,0.8767783881759643,0.75114,0.5016787285327912,0.8441,4.794386564209954e-05,cifar100,bitfit,True
15,0.8613863045883179,0.7559,0.5046888304233551,0.8433,4.76206763116505e-05,cifar100,bitfit,False
16,0.8509222111701965,0.76032,0.49768365874290466,0.8456,4.727516310470921e-05,cifar100,bitfit,True
17,0.842343334312439,0.76118,0.4926523268222809,0.8475,4.6907667001096604e-05,cifar100,bitfit,True
18,0.8211614631652832,0.76798,0.48274379911422727,0.8492,4.651855067509861e-05,cifar100,bitfit,True
19,0.8172795824813843,0.76806,0.4788555253505707,0.8512,4.61081981375504e-05,cifar100,bitfit,True
20,0.8152752851390839,0.76908,0.4809004541873932,0.8502,4.567701435686407e-05,cifar100,bitfit,False
21,0.798512243976593,0.77434,0.4730329097747803,0.8507,4.522542485937371e-05,cifar100,bitfit,False
22,0.796176125907898,0.77348,0.474706400346756,0.8528,4.475387530939228e-05,cifar100,bitfit,True
23,0.7821379627799988,0.7758,0.4707048348426819,0.8531,4.426283106939475e-05,cifar100,bitfit,True
24,0.7877721255302429,0.77798,0.4662750701904297,0.8546,4.375277674076151e-05,cifar100,bitfit,True
25,0.7761104672813416,0.77992,0.4665599809169769,0.8543,4.322421568553531e-05,cifar100,bitfit,False
26,0.7704256882476807,0.77944,0.4650534550189972,0.8537,4.26776695296637e-05,cifar100,bitfit,False
27,0.7622310680389405,0.7829,0.45811621179580686,0.8563,4.211367764821723e-05,cifar100,bitfit,True
28,0.7552291037750244,0.78602,0.45648547244071963,0.8559,4.153279663309131e-05,cifar100,bitfit,False
29,0.7573238626480102,0.78498,0.45462313199043275,0.8586,4.0935599743717254e-05,cifar100,bitfit,True
30,0.7490601626777649,0.78802,0.45331996026039123,0.8593,4.032267634132443e-05,cifar100,bitfit,True
31,0.7539699146461487,0.78614,0.45262815117835997,0.8603,3.969463130731185e-05,cifar100,bitfit,True
32,0.7461042061805725,0.78752,0.45305437865257264,0.8579,3.905208444630329e-05,cifar100,bitfit,False
33,0.7392354035568237,0.78964,0.4470726825237274,0.861,3.8395669874474935e-05,cifar100,bitfit,True
34,0.7310509637737275,0.792,0.4446944945335388,0.8624,3.7726035393759305e-05,cifar100,bitfit,True
35,0.7365247443771362,0.79138,0.44683136525154116,0.8621,3.70438418525429e-05,cifar100,bitfit,False
36,0.7307989134693146,0.79248,0.4470568009376526,0.8605,3.634976249348869e-05,cifar100,bitfit,False
37,0.7333343626022338,0.78966,0.4471497843742371,0.8587,3.564448228912684e-05,cifar100,bitfit,False
38,0.7265008378601074,0.79324,0.4438129169464111,0.862,3.4928697265869536e-05,cifar100,bitfit,False
39,0.7217146321105957,0.79546,0.44615546851158144,0.8608,3.420311381711698e-05,cifar100,bitfit,False
40,0.7253002108383179,0.79478,0.4410371322631836,0.8629,3.346844800613231e-05,cifar100,bitfit,True
41,0.7155660880184174,0.79644,0.4386573612689972,0.8633,3.272542485937371e-05,cifar100,bitfit,True
42,0.7196608525848389,0.79384,0.44089525542259217,0.8645,3.197477765098076e-05,cifar100,bitfit,True
43,0.7165954167556763,0.79762,0.43571597499847414,0.8631,3.121724717912139e-05,cifar100,bitfit,False
44,0.70304708152771,0.80018,0.43897157554626465,0.8624,3.045358103491359e-05,cifar100,bitfit,False
45,0.7142873478126526,0.79792,0.4373117109298706,0.8635,2.9684532864643143e-05,cifar100,bitfit,False
46,0.7056383319473266,0.79934,0.4370806257247925,0.8628,2.8910861626005796e-05,cifar100,bitfit,False
47,0.7027703950119019,0.79704,0.4352206809043884,0.8638,2.8133330839107635e-05,cifar100,bitfit,False
48,0.7099948545646667,0.79732,0.43608822808265685,0.8632,2.735270783296288e-05,cifar100,bitfit,False
49,0.6931171111488342,0.80202,0.4361616678714752,0.8644,2.656976298823286e-05,cifar100,bitfit,False
50,0.7101205771636963,0.79936,0.4351607445716858,0.864,2.578526897695323e-05,cifar100,bitfit,False
51,0.6986528186798096,0.8008,0.43469340901374814,0.8643,2.500000000000002e-05,cifar100,bitfit,False
52,0.6991128196334839,0.80054,0.43265671496391295,0.8635,2.4214731023046813e-05,cifar100,bitfit,False
